"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","645700","40006457","37827","AF  ","A COUNTRY HOME","OP    ","212305 E 355 PR SE HANEY RD","KENNEWICK","WA","99337","Benton","212305 E 355 PR SE HANEY RD","KENNEWICK","WA","99337","(509) 582-7020","","(509) 582-0830","1C","SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Collins, Tena","6","","","","1019379","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=645700","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=645700",
"Mental Health, Dementia","Adult Family Home","757597","40013707","50211","AF  ","A Gentle Heart Adult Family Home LLC","OP    ","6290 W 32nd Ave","Kennewick","WA","99338","Benton","6290 W 32nd Ave","Kennewick","WA","99338","(509) 212-9642","(509) 619-0419","","1C","SPMI, SPDE","1080XS-12 ","Mehmedovic, Aida","5","","","","1065805","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757597","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757597",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, DDA Meaningful Day, Adult Family Home","751414","40004012","40401","AF  ","A PART OF OUR FAMILY","OP    ","2618 W 10TH AVE","KENNEWICK","WA","99336","Benton","2618 W 10TH AVE","KENNEWICK","WA","99336","(509) 585-4187","","(509) 591-0920","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","STOVER, CINDY A.","5","","","","1018284","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751414","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751414",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, DDA Meaningful Day, Adult Family Home","757594","40013602","50057","AF  ","A Part of the Family","OP    ","25801 N Rothrock Rd","Prosser","WA","99350","Benton","25801 N Rothrock Rd","Prosser","WA","99350","(509) 438-7110","","","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Wallace, Ramona J.","6","","","","226024","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757594","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757594",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","757940","40009038","51140","AF  ","A Part of The Family 3","OP    ","213504 E GAME FARM RD","KENNEWICK","WA","99337","Benton","213504 E GAME FARM RD","KENNEWICK","WA","99337","(509) 221-1827","","","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Almont, Katelin A.","6","","","","1041600","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757940","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757940",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","757985","40014314","51076","AF  ","A Peaceful Living AFH LLC","OP    ","2947 S Kellogg St","Kennewick","WA","99338","Benton","2947 S Kellogg St","Kennewick","WA","99338","(509) 212-9643","","","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","MEHMEDOVIC, ALMIRA","5","","","","443371","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757985","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757985",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","720500","40007205","38478","AF  ","A PLACE LIKE HOME","OP    ","704 W 26TH AVE","KENNEWICK","WA","99337","Benton","704 W 26TH AVE","KENNEWICK","WA","99337","(509) 582-0203","","(509) 586-0784","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Lawson, Denise","6","","","","1018714","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=720500","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=720500",
"Developmental Disabilities","Expanded Community Services, Adult Family Home","755951","40012243","47960","AF  ","A Place To Call Home","OP    ","1108 S Highland Place","Kennewick","WA","99337","Benton","1108 S Highland Place","Kennewick","WA","99337","(509) 378-0020","","(509) 396-9260","1C","SPDD","1080XS-12 , 1080XS-12 ","Cassano, Ashley C.","6","","","","1017472","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755951","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755951",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","754587","40011163","46124","AF  ","A.J.A.N Adult Family Home LLC","OP    ","935 S Huntington St","Kennewick","WA","99336","Benton","98216 E Sidibe Pr SE","Kennewick","WA","99338","(509) 619-0811","","(509) 588-7017","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","OKIRO, EDWINA","6","","","","1214866","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754587","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754587",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","757083","40013476","49857","AF  ","Above Care LLC","OP    ","1406 Meadow Hills Dr","Richland","WA","99352","Benton","1406 Meadow Hills Dr","Richland","WA","99352","(509) 521-7327","","","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Valsan, Tatyana Y.","6","","","","619905","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757083","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757083",
"Mental Health, Dementia","Adult Family Home","758671","40014903","51948","AF  ","Abundant Grace Adult Family Home","OP    ","807 W 43rd Ave","Kennewick","WA","99337","Benton","807 W 43rd Ave","Kennewick","WA","99337","(509) 221-1837","","","1C","SPMI, SPDE","1080XS-12 ","Anyango, Patricia","4","","","","1239017","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758671","No"," ",
"Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","751026","40008670","39838","AF  ","AMETHYST GARDEN","OP    ","3508 W HOOD AVE","KENNEWICK","WA","99336     ","Benton","3508 W HOOD AVE","KENNEWICK","WA","99336     ","(509) 619-0337","","","1C","SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","FLOYD, BRANDY M.","5","","","","1018260","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751026","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751026",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758796","40014909","51959","AF  ","ANGELITA'S AFH LLC","OP    ","2311 S Arthur Loop","Kennewick","WA","99338","Benton","2311 S Arthur Loop","Kennewick","WA","99338","(509) 736-4888","","","1C","SPMI, SPDE, SPDD","1080XS-12 ","Blas-Matus, Grace A.","6","","","","504570","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758796","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, DDA Meaningful Day, Adult Family Home","757286","40013450","49822","AF  ","Annaviga Adult Family Home","OP    ","120 S Kansas St","Kennewick","WA","99336","Benton","120 S Kansas St","Kennewick","WA","99336","(509) 987-1782","","(509) 371-9446","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Nkengasong, Eunice N.","6","","","","1025735","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757286","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757286",
"Mental Health, Dementia","Adult Family Home","755382","40009911","47493","AF  ","Badger Mountain Adult Family Home","OP    ","1756 Silver Ct","Richland","WA","99352","Benton","1756 Silver Ct","Richland","WA","99352","(509) 572-5584","","(509) 820-3368","1C","SPMI, SPDE","1080XS-12 ","Roberts, Osha L.","6","","","","750249","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755382","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755382",
"Mental Health, Dementia","Adult Family Home","757878","40014186","50900","AF  ","BADGER MOUNTAIN SUMMIT VIEW AFH","OP    ","10501 S Harper Mae Ct","Kennewick","WA","99338","Benton","10501 S Harper Mae Ct","Kennewick","WA","99338","(509) 572-7616","","","1C","SPMI, SPDE","1080XS-12 ","Roberts, Osha L.","6","","","","750249","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757878","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757878",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","227401","40002274","33900","AF  ","Black's AFH","OP    ","727 E 27th Ave","Kennewick","WA","99337","Benton","727 E 27th Ave","Kennewick","WA","99337","(509) 586-6192","","(509) 396-9317","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Black, Doreen R.","5","","","","197212","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=227401","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=227401",
"Mental Health, Dementia","Adult Family Home","752706","40009965","42300","AF  ","Careing Hands Adult Family Home","OP    ","8610 W Bruneau Ave","Kennewick","WA","99336","Benton","8610 W Bruneau Ave","Kennewick","WA","99336","(509) 619-0212","","(509) 619-0212","1C","SPMI, SPDE","1080XS-12 ","Krzyzanek, Annaliese L.","6","","","","200016","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752706","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752706",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","753051","40009171","43800","AF  ","Cherish Cove LLC","OP    ","1459 BADGER MOUNTAIN LOOP","RICHLAND","WA","99352","Benton","1459 BADGER MOUNTAIN LOOP","RICHLAND","WA","99352","(509) 374-7458","(509) 628-1118","","1C","SPMI, SPDE, SPDD","1080XS-12 ","Amor Quigley, Violeta B.","6","","","","630672","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753051","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753051",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","95903","40000959","32219","AF  ","CHERISHED LIVING","OP    ","1939 Davison Ave","Richland","WA","99354","Benton","1939 Davison Ave","Richland","WA","99354","(509) 943-2624","","(509) 946-1542","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Kelly, Glenford C.","5","","","","503975","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=95903","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=95903",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","754747","40011333","46400","AF  ","Cherry Creek Adult Family Home LLC","OP    ","2616 W 44th Pl","Kennewick","WA","99337","Benton","2616 W 44th Pl","Kennewick","WA","99337","(509) 396-9007","","(509) 769-0422","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Touchette, LeAnn N.","6","","","","795002","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754747","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754747",
"Mental Health, Dementia","Adult Family Home","757406","40013536","49942","AF  ","Cherry Creek Cottage","OP    ","3353 S Vancouver St","Kennewick","WA","99337","Benton","3353 S Vancouver St","Kennewick","WA","99337","(509) 396-7406","","(509) 769-0422","1C","SPMI, SPDE","1080XS-12 ","Touchette, LeAnn N.","6","","","","795002","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757406","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757406",
"Mental Health, Dementia","Adult Family Home","758643","40014884","51918","AF  ","Cherry Creek Sunrise Ridge","OP    ","5386 S Kent St","Kennewick","WA","99337","Benton","5386 S Kent St","Kennewick","WA","99337","(509) 221-1562","","","1C","SPMI, SPDE","1080XS-12 ","Touchette, LeAnn N.","6","","","","795002","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758643","No"," ",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","757432","40013704","50207","AF  ","Clovernook Adult Family home LLC","OP    ","340 Clovernook St","Richland","WA","99352","Benton","340 Clovernook St","Richland","WA","99352","(509) 439-4083","","(509) 221-1207","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","DHERESSA, EBSITU F.","6","","","","491207","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757432","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757432",
"Mental Health, Dementia","Expanded Community Services, Adult Family Home","757811","40009450","50728","AF  ","Columbia Shores AFH LLC","OP    ","6127 W Victoria Ave","KENNEWICK","WA","99336","Benton","6127 W VICTORIA AVE","KENNEWICK","WA","99336","(314) 498-3077","","","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 ","Sikuku, Hycine","6","","","","1124347","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757811","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757811",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","756235","40010695","48319","AF  ","Comfort Living A Adult Family Home LLC","OP    ","536 Athens Dr","West Richland","WA","99353","Benton","536 Athens Dr","West Richland","WA","99353","(509) 948-5311","","(509) 905-3001","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Baissa, Joseph T.","6","","","","502288","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756235","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756235",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","757553","40013684","50175","AF  ","Comfort With Care LLC","OP    ","213 S Osborne St","Kennewick","WA","99336","Benton","213 S Osborne St","Kennewick","WA","99336","(509) 987-1578","","","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Solonka, Esther T.","5","","","","1062945","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757553","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757553",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","757222","40013410","49767","AF  ","Custom Care Adult Family Home","OP    ","532 Athens Dr","West Richland","WA","99353","Benton","532 Athens Dr","West Richland","WA","99353","(509) 521-1177","","(509) 524-9109","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Rakhmestryuk, Oksana M.","6","","","","228730","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757222","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757222",
"Mental Health, Dementia","Adult Family Home","757446","40013736","50277","AF  ","Desert Sage","OP    ","42104 N Thunder Rd","Benton City","WA","99320","Benton","1413 Desert Springs Ave","Richland","WA","99352","(509) 497-1031","","","1C","SPMI, SPDE","1080XS-12 ","Rodriguez, Desiray","6","","","","487327","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757446","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757446",
"Dementia","Adult Family Home","758649","40014827","51838","AF  ","DESERT WIND COTTAGE LLC","OP    ","8602 W Bruneau Pl","Kennewick","WA","99336","Benton","8606 W Bruneau Pl","Kennewick","WA","99336","(509) 591-0411","","","1C","SPDE","1080XS-12 ","Gorinchoy, Nataliya G.","6","","","","579550","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758649","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","752806","40010019","42453","AF  ","Desert Wind Gardens AFH","OP    ","8606 W Bruneau Ave","Kennewick","WA","99336","Benton","8606 W Bruneau Ave","Kennewick","WA","99336","(509) 396-3714","","(509) 396-5100","1C","SPMI, SPDE, SPDD","1080XS-12 ","Gorinchoy, Nataliya G.","6","","","","579550","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752806","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752806",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758250","40014475","51328","AF  ","ELLAS COMFORT HOME LLC","OP    ","2601 Ficus Dr","West Richland","WA","99353","Benton","2601 Ficus Dr","West Richland","WA","99353","(509) 371-9281","(509) 204-8542","","1C","SPMI, SPDE, SPDD","1080XS-12 ","SELEYIAN, ANGELA","6","","","","1175970","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758250","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=758250",
"Mental Health, Dementia","Adult Family Home","754833","40011310","46365","AF  ","Elysian Estates Adult Family Home","OP    ","3174 West Payette Avenue","Kennewick","WA","99336","Benton","3174 West Payette Avenue","Kennewick","WA","99336","(509) 396-3887","","(509) 356-2356","1C","SPMI, SPDE","1080XS-12 ","Roberts, Bert","6","","","","1021055","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754833","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754833",
"Dementia","Adult Family Home","750866","40008599","39715","AF  ","FLEUR DE LIS I","OP    ","3203 S FISHER CT","KENNEWICK","WA","99337     ","Benton","3203 S FISHER CT","KENNEWICK","WA","99337     ","(509) 582-6200","(509) 418-5973","","1C","SPDE","1080XS-12 ","Lang Jones, Debra L.","6","","","","1019189","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750866","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750866",
