"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","754652","40010715","46490","AF  ","Asis","OP    ","331 W Bell St","Sequim","WA","98382","Clallam","331 W Bell St","Sequim","WA","98382","(360) 477-4391","","(844) 289-6646","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Kendagor, Naomi J.","6","","","","646623","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754652","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754652",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, AFH Respite , Adult Family Home","464000","40004640","36376","AF  ","CONNECTING LINKS ADULT FAMILY HOME","OP    ","73 Sportsman Club Rd","Forks","WA","98331","Clallam","PO BOX 1787","FORKS","WA","98331","(360) 374-2044","","(360) 374-4346","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Middleton, Linda","6","","","","1018594","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=464000","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=464000",
"Mental Health, Dementia","No Contract","758399","40014414","51213","AF  ","Goldenbridge Adult Family Home LLC","OP    ","601 Del Guzzi Dr","Port Angeles","WA","98362","Clallam","601 Del Guzzi Dr","Port Angeles","WA","98362","(360) 819-9957","","","3F","SPMI, SPDE","","BIEGON, WINNIFER C.","6","","","","1164086","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758399","No"," ",
"Dementia","No Contract","758170","40014405","51200","AF  ","Lucia's Nest","OP    ","190 Port Williams Rd","Sequim","WA","98382","Clallam","190 Port Williams Rd","Sequim","WA","98382","(360) 912-5469","","","3F","SPDE","","Kroh, Evan","5","","","","1015463","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758170","No"," ",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","756458","40012497","48401","AF  ","Odyssey Adult Family Home, LLC","OP    ","1017 W 17th St","Port Angeles","WA","98363","Clallam","1017 W 17th St","Port Angeles","WA","98363","(360) 477-4684","","","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Mbote, Joseph","6","","","","1016156","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756458","No"," ",
"Dementia","No Contract","755635","40012041","47617","AF  ","Robin's Nest","OP    ","993 Fox Hollow Rd","Sequim","WA","98382","Clallam","103 Evening Star Way","Sequim","WA","98382","(360) 477-2772","","(360) 367-4412","3F","SPDE","","Kroh, Evan","6","","","","1015463","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755635","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755635",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758572","40014802","51798","AF  ","sequim ave adult family home LLC","OP    ","511 S Sequim Ave","Sequim","WA","98382","Clallam","511 S Sequim Ave","Sequim","WA","98382","(360) 670-3064","","","3F","SPMI, SPDE, SPDD","1080XS-12 ","Nginyo, Eliud N.","6","","","","1221948","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758572","No"," ",
"Mental Health, Dementia","Adult Family Home","752404","40006788","41869","AF  ","Belair House","OP    ","304 E 3rd St","Cle Elum","WA","98922","Kittitas","2811 Lambert Rd","Cle Elum","WA","98922","(509) 674-4006","(509) 674-4007","","1C","SPMI, SPDE","1080XS-12 ","Brown, Lori K.","6","","","","1020857","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752404","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752404",
"Mental Health, Dementia","No Contract","756836","40013044","49257","AF  ","Grace Manor LLC","OP    ","906 E Seattle Ave","Ellensburg","WA","98926","Kittitas","906 E Seattle Ave","Ellensburg","WA","98926","(509) 201-1079","","","1C","SPMI, SPDE","","Soli, Ahna H.","6","","","","439462","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756836","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756836",
"Mental Health, Dementia","Adult Family Home","753678","40010573","44824","AF  ","Malibu House","OP    ","401 Main Street South","Cle Elum","WA","98943","Kittitas","2811 Lambert Road","Cle Elum","WA","98922","(509) 674-3795","","(509) 674-3762","1C","SPMI, SPDE","1080XS-12 ","Brown, Lori K.","6","","","","1020857","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753678","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753678",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","755850","40012153","47800","AF  ","# 001 Aspen Adult Family Home, LLC","OP    ","819 S Aspen St","Airway Heights","WA","99001","Spokane","819 S Aspen St","Airway Heights","WA","99001","(561) 666-0534","","(360) 287-7736","1E","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Alexandre, Esther","6","","","","948967","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755850","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755850",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","754691","40011293","46332","AF  ","# 1 A Golden Heart Adult Family Home LLC","OP    ","3523 S Sundown Dr","Spokane Valley","WA","99206","Spokane","3523 S Sundown Dr","Spokane Valley","WA","99206","(509) 309-3635","","(509) 309-3635","1E","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","BELIZAIRE, JOHANE","6","","","","525940","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754691","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754691",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","755466","40011863","47308","AF  ","# 1 Empowering Adult Family Home 2 LLC","OP    ","6211 W Sundance Dr","Spokane","WA","99208","Spokane","6211 W Sundance Dr","Spokane","WA","99208","(509) 957-5679","","(509) 463-9608","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Njunge, Leonard","6","","","","1025513","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755466","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755466",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","754203","40010937","45629","AF  ","# 1 Empowering Adult Family Home LLC","OP    ","9832 N Glenwood Ct","Spokane","WA","99208","Spokane","9832 N Glenwood Ct","Spokane","WA","99208","(509) 434-9698","","(509) 463-9608","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Ndonge, Peris N.","6","","","","788872","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754203","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754203",
