"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia","Adult Family Home","758690","40014951","52023","AF  ","!1ST FAMILY HOME AFH LLC","OP    ","17047 158th Ave SE","Renton","WA","98058","King","17047 158th Ave SE","Renton","WA","98058","(253) 455-1754","","","2E","SPMI, SPDE","1080XS-12 ","AWAJI, HAYMANOT","6","","","","507175","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758690","No"," ",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","755337","40007273","47623","AF  ","1st Care AFH LLC","OP    ","14131 SE FAIRWOOD BLVD","RENTON","WA","98058","King","314 Zillah Pl SE","Renton","WA","98059","(425) 245-4276","","(206) 653-7415","2E","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Seifu, Hiwot","6","","","","1022403","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755337","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755337",
"Mental Health, Dementia, Developmental Disabilities","DDA Meaningful Day, Adult Family Home","755642","40005393","47656","AF  ","A Plus Adult Family Home","OP    ","1036 S 325TH ST","FEDERAL WAY","WA","98003","King","1036 S 325TH ST","FEDERAL WAY","WA","98003","(253) 632-6086","","(253) 946-4571","2G","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Cavada, Dolores E.","6","","","","489166","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755642","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","757752","40013976","50626","AF  ","AA Suite Adult Family Home LLC","OP    ","10215 SE 224th St","Kent","WA","98031","King","10215 SE 224th St","Kent","WA","98031","(602) 472-0571","","","2E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Rizal, Giri","6","","","","1026048","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757752","No"," ",
"Mental Health, Dementia","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","754734","40011331","46398","AF  ","Always  Home AFH","OP    ","20121 8th Avenue NE","Shoreline","WA","98155","King","20121 8th Avenue NE","Shoreline","WA","98155","(206) 588-1100","","(206) 535-7187","2I","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Solomon, Saba H.","6","","","","599637","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754734","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754734",
"Mental Health, Dementia, Developmental Disabilities","Private Duty Nursing, HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","755908","40006487","47994","AF  ","Bright Rose AFH LLC","OP    ","26308 185TH AVE SE","COVINGTON","WA","98042","King","26308 185TH AVE SE","COVINGTON","WA","98042","(253) 981-4868","","(253) 981-4868","2E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Assen, Abiy B.","6","","","","437954","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755908","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755908",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","756657","40012820","48908","AF  ","Dynasty AFH LLC","OP    ","2715 SW 323rd St","Federal Way","WA","98023","King","2715 SW 323rd St","Federal Way","WA","98023","(253) 944-1007","","","2E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Paul, Bernard K.","6","","","","1019834","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756657","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756657",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758392","40014556","51458","AF  ","HEAL ADULT FAMILY HOME LLC","OP    ","2218 Hemlock St SE","Auburn","WA","98092","King","2218 Hemlock St SE","Auburn","WA","98092","(206) 375-7737","","","2G","SPMI, SPDE, SPDD","1080XS-12 ","GEBRE, ZENEBU G.","6","","","","635425","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758392","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","756353","40012543","48475","AF  ","Neighbors Choice Care LLC","OP    ","2525 26th St SE ","Auburn","WA","98002","King","2525 26th St SE ","Auburn","WA","98002","(253) 561-4696","","","2G","SPMI, SPDE, SPDD","1080XS-12 ","Dimanga Kutambula, Leiticia","6","","","","1015606","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756353","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756353",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","754712","40011323","46387","AF  ","Safe Haven AFH","OP    ","14811 SE 172nd Pl","Renton","WA","98058","King","14811 SE 172nd Pl","Renton","WA","98058","(206) 841-7111","","","2E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Mekonnen, Girmachew T.","6","","","","503682","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754712","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754712",
