"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","758032","40014169","50882","AF  ","Clarkston Care Home","OP    ","2606 19th St","Clarkston","WA","99403","Asotin","2606 19th St","Clarkston","WA","99403","(509) 295-6149","","(206) 260-0724","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Sigilai, Mimie","6","","","","1063503","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758032","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=758032",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","758056","40014199","50916","AF  ","Highly Preferred Care AFH LLC","OP    ","2847 24th St","Clarkston","WA","99403","Asotin","2847 24th St","Clarkston","WA","99403","(509) 295-1878","","","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Konchellah, Vincent K.","6","","","","893638","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758056","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=758056",
"Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","757201","40010833","49863","AF  ","Just Like Home Adult Family Home LLC","OP    ","1862 Golfview Drive","Clarkston","WA","99403","Asotin","1556 Highland Ave","Clarkston","WA","99403","(208) 791-2386","","","1E","SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Parson, Michelle M.","6","","","","574094","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757201","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757201",
"Mental Health, Dementia","Adult Family Home","484800","40004848","36571","AF  ","KATHERIN'S HARMONY HOUSE","OP    ","1358 SYCAMORE","CLARKSTON","WA","99403","Asotin","1358 SYCAMORE","CLARKSTON","WA","99403","(509) 758-3038","","(509) 751-5303","1E","SPMI, SPDE","1080XS-12 ","Spindler, Katherine L.","2","","","","535649","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=484800","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=484800",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755050","40009166","47032","AF  ","Preferred Care AFH LLC","OP    ","2341 12TH AVE","CLARKSTON","WA","99403","Asotin","2341 12TH AVE","CLARKSTON","WA","99403","(509) 751-0300","","(509) 295-6332","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Konchellah, Vincent K.","6","","","","893638","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755050","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755050",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","752612","40007166","42150","AF  ","Riverview Residential Home and Care LLC","OP    ","1842 Golfview Dr","Clarkston","WA","99403","Asotin","1842 Golfview Dr","Clarkston","WA","99403","(509) 751-0168","","(509) 751-1168","1E","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Parson, Michelle M.","6","","","","574094","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752612","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752612",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758661","40014614","51537","AF  ","Scenic View AFH","OP    ","1933 Scenic Way","Clarkston","WA","99403","Asotin","1933 Scenic Way","Clarkston","WA","99403","(208) 305-4949","","","1E","SPMI, SPDE, SPDD","1080XS-12 ","Feleke, Meheretab","6","","","","1198866","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758661","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758998","40015199","52382","AF  ","SUNSHINE VIEW ADULT FAMILY HOME LLC","OP    ","1422 15th St","Clarkston","WA","99403","Asotin","1422 15th St","Clarkston","WA","99403","(509) 295-6017","","","1E","SPMI, SPDE, SPDD","1080XS-12 ","Lodi, Hosea L.","6","","","","1278485","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758998","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","68100","40000681","31863","AF  ","SYCAMORE GLEN","OP    ","1585 SYCAMORE ST","CLARKSTON","WA","99403","Asotin","1587 Sycamore ST","Clarkston","WA","99403","(509) 751-4905","","(509) 758-9772","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee a.","6","","","","171920","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=68100","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=68100",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","68200","40000682","31864","AF  ","SYCAMORE GLEN","OP    ","1589 Sycamore St","Clarkston","WA","99403","Asotin","1587 Sycamore St","Clarkston","WA","99403","(509) 552-1068","","(866) 264-1825","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee a.","6","","","","171920","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=68200","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=68200",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","428200","40004282","36021","AF  ","SYCAMORE GLEN","OP    ","1587 SYCAMORE ST","CLARKSTON","WA","99403","Asotin","1587 Sycamore St","Clarkston","WA","99403","(509) 758-9335","","(866) 264-1825","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee a.","6","","","","171920","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=428200","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=428200",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","754885","40011328","46394","AF  ","Sycamore Glen on 7th Street","OP    ","920 7th St","Clarkston","WA","99403","Asotin","1587 Sycamore St","Clarkston","WA","99403","(509) 758-8922","","(866) 264-1825","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee a.","6","","","","171920","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754885","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754885",
