"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia","Adult Family Home","755916","40012123","47751","AF  ","Casa Mia","OP    ","605 Hull Rd","Brewster","WA","98812","Okanogan","605 Hull Rd","Brewster","WA","98812","(509) 689-2662","","(509) 689-2662","1C","SPMI, SPDE","1080XS-12 ","Deochoa, Marlen","6","","","","1025676","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755916","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755916",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","751138","40008801","40033","AF  ","Country Meadow Estate AFH","OP    ","461 Cape Labelle Rd","Tonasket","WA","98855","Okanogan","PO Box 1678","Tonasket","WA","98855","(509) 486-2124","","(509) 486-2124","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Chambers, Danette M.","6","","","","1022547","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751138","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751138",
"Dementia","WCF AFH SOW, HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","597900","40005979","37465","AF  ","GOLDEN YEARS","OP    ","48 Hubbard Rd # A","Riverside","WA","98849","Okanogan","48 Hubbard Rd # A","Riverside","WA","98849","(509) 846-0146","","(509) 846-0146","1C","SPDE","1403XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Holz, Ryan D.","6","","","","1020965","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=597900","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=597900",
"Dementia","Adult Family Home","752368","40008090","41756","AF  ","Jamie's Place","OP    ","109 Norfolk Rd","Winthrop","WA","98862","Okanogan","PO Box 1260","Winthrop","WA","98862","(509) 996-5964","","(509) 300-4005","1C","SPDE","1080XS-12 ","Kulsrud, JESSICA L.","8","","","","522746","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752368","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752368",
"Mental Health, Dementia","Adult Family Home","754472","40005499","45785","AF  ","Lilac Estates Adult Family Home","OP    ","315 W 4th Ave","Omak","WA","98841","Okanogan","315 W 4th Ave","Omak","WA","98841","(509) 668-0633","","(509) 479-4964","1C","SPMI, SPDE","1080XS-12 ","Ince, Tanisha L.","6","","","","172849","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754472","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754472",
"Dementia","Adult Family Home","752367","40008867","41755","AF  ","MOUNTAIN VIEW","OP    ","109 Norfolk Rd","Winthrop","WA","98862","Okanogan","PO BOX 1260","WINTHROP","WA","98862","(509) 996-5964","","(509) 300-4005","1C","SPDE","1080XS-12 ","Kulsrud, JESSICA L.","8","","","","522746","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752367","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752367",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","756547","40001583","49052","AF  ","Okanogan Valley AFH LLC","OP    ","348 E Dewberry Ave","Omak","WA","98841","Okanogan","348 E Dewberry Ave","Omak","WA","98841","(509) 826-2747","","","1C","SPMI, SPDE, SPDD","1080XS-12 ","Hammers, Paul D.","6","","","","1019375","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756547","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756547",
"Mental Health, Dementia","Adult Family Home","756564","40012657","48651","AF  ","Welcome Home Lodge AFH, LLC","OP    ","27 Hahn Road","Omak","WA","98841","Okanogan","34 Valley View Rd","Omak","WA","98841","(509) 322-2455","","(509) 826-5989","1C","SPMI, SPDE","1080XS-12 ","Ervin, Madison","8","","","","557983","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756564","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756564",
"Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","754306","40008126","45915","AF  ","Welcome Home Villa AFH LLC","OP    ","163B NICHOLS RD","OMAK","WA","98841","Okanogan","34 Valley View Rd","Omak","WA","98841","(509) 826-3631","","(509) 826-5989","1C","SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Davies, Kellie","8","","","","1016983","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754306","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754306",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","679200","40006792","38116","AF  ","A BETTER VIEW AFH","OP    ","12420 W SUNRIDGE DR","NINE MILE FALLS","WA","99026","Stevens","12420 W SUNRIDGE DR","NINE MILE FALLS","WA","99026","(509) 465-4735","","(509) 465-4735","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","May Kenney, Lori","6","","","","1023791","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=679200","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=679200",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Specialty AFH Pilot, DDA Meaningful Day, Adult Family Home","756014","40000121","48125","AF  ","Sagewood Gardens Adult Family Home","OP    ","10920 W Sagewood Rd","Nine Mile Falls","WA","99026","Stevens","10920 W Sagewood Rd","Nine Mile Falls","WA","99026","(509) 466-0898","(509) 473-9101","(509) 466-0898","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Knox, Eileen","6","","","","1022619","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756014","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756014",
