"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","603900","40006039","37507","AF  ","ANGELAS ADULT FAMILY HOME","OP    ","1529 CHERRY STREET","WENATCHEE","WA","98801","Chelan","1529  CHERRY ST","WENATCHEE","WA","98801","(509) 665-3479","","(509) 665-3479","1C","SPMI, SPDE, SPDD","1080XS-12 ","Oeck, Angela M.","6","","","","1019881","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=603900","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=603900",
"Mental Health, Dementia","No Contract","758218","40007092","51168","AF  ","Caring at Cordell","OP    ","2557 Cordell St","Wenatchee","WA","98801","Chelan","2557 Cordell St","Wenatchee","WA","98801","(509) 663-2916","","(509) 667-1452","1C","SPMI, SPDE","","Wells, Jason","6","","","","961459","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758218","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=758218",
"Mental Health, Dementia, Developmental Disabilities","No Contract","753306","40010419","44408","AF  ","Caring Cottage LLC","OP    ","2023 Westhaven","Wenatchee","WA","98801","Chelan","2023 Westhaven","Wenatchee","WA","98801","(509) 888-4950","(509) 888-4960","","1C","SPMI, SPDE, SPDD","","Nemayian, Merryn B.","6","","","","575595","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753306","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753306",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","752727","40007138","42349","AF  ","Char's Family Home","OP    ","1128 Castlerock Ave","Wenatchee","WA","98801","Chelan","1128 Castlerock Ave","Wenatchee","WA","98801","(509) 888-0348","","(509) 888-0187","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Olsen, Charlene","6","","","","762238","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752727","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752727",
"Developmental Disabilities","Adult Family Home","751981","40009454","41149","AF  ","CORNERSTONE COMMUNITY","OP    ","12125 DETILLION ROAD","LEAVENWORTH","WA","98826","Chelan","PO BOX 772","LEAVENWORTH","WA","98826","(509) 888-3311","","(509) 548-7167","1C","SPDD","1080XS-12 ","FLOREA, CARL J.","6","","","","466202","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751981","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751981",
"Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","752600","40009903","42166","AF  ","Coyote House","OP    ","11864 Sunitsch Canyon Road","Leavenworth","WA","98826","Chelan","11864 Sunitsch Canyon Road","Leavenworth","WA","98826","(509) 548-1200","","(509) 344-1443","1C","SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Woods, Matthew","6","","","","790619","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752600","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752600",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","756255","40011062","48753","AF  ","Elmwood Cottage Adult Family Home","OP    ","1511 Elmwood St","Wenatchee","WA","98801","Chelan","1511 Elmwood St","Wenatchee","WA","98801","(509) 888-0519","","(509) 888-2047","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Stern, Nellius","6","","","","580478","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756255","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756255",
"Dementia","Adult Family Home","321500","40003215","34953","AF  ","ENTIAT VALLEY SENIOR HOME","OP    ","6610 ROARING CREEK ROAD","ENTIAT","WA","98822","Chelan","6610 ROARING CREEK ROAD","ENTIAT","WA","98822","(509) 784-2247","","(509) 784-8063","1C","SPDE","1080XS-12 ","Wood, Daniel L.","2","","","","1022454","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=321500","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=321500",
"Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","757790","40010457","50762","AF  ","Golden Years Adult Family Home LLC","OP    ","613 Royal Anne Dr","Wenatchee","WA","98801","Chelan","613 Royal Anne Dr","Wenatchee","WA","98801","(509) 470-7154","","(509) 470-7613","1C","SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Garibay, Fabiola E.","6","","","","499117","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757790","No"," ",
"Mental Health, Dementia","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755991","40004761","48045","AF  ","Golden Years Adult Family Home LLC #2","OP    ","2710 Number 1 CANYON ROAD","WENATCHEE","WA","98801","Chelan","2710 Number 1 CANYON ROAD","WENATCHEE","WA","98801","(509) 662-3634","","(509) 888-1541","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Garibay, Fabiola E.","6","","","","499117","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755991","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755991",
