"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia","Private Duty Nursing, Adult Family Home","757920","40014243","50983","AF  ","#1 Awareness Adult Family Home Care LLC","OP    ","726 Brookdale Rd E","Tacoma","WA","98445","Pierce","726 Brookdale Rd E","Tacoma","WA","98445","(253) 242-6061","","","3A","SPMI, SPDE","1080XS-12 , 1080XS-12 ","Pabla, Kulwinder S.","6","","","","1144864","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757920","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","757430","40013369","49718","AF  ","#1 GITAU HEALTH CARE SERVICES INC","OP    ","10119 LAKE LOUISE LN SW","Lakewood","WA","98498","Pierce","10119 LAKE LOUISE LN SW","Lakewood","WA","98498","(253) 632-5359","","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","MUCHIRI, EVELYN","6","","","","784587","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757430","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758654","40014754","51728","AF  ","#Appointed Care AFH","OP    ","5222 Arrowhead Rd SW","Lakewood","WA","98499","Pierce","5222 Arrowhead Rd SW","Lakewood","WA","98499","(253) 302-4592","","","3A","SPMI, SPDE, SPDD","1080XS-12 ","GATIKA, GABRIEL K.","6","","","","1034697","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758654","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","755649","40012214","47907","AF  ","#Joysam AFH LLC ","OP    ","710 Roe St","Steilacoom","WA","98388","Pierce","710 Roe St","Steilacoom","WA","98388","(253) 292-0047","","(253) 292-0047","3F","SPMI, SPDE, SPDD","1080XS-12 ","Githinji, Samuel","5","","","","1026137","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755649","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755649",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","754027","40009725","45517","AF  ","* * Access Adult Family Home LLC","OP    ","9405 152nd St E","Puyallup","WA","98375","Pierce","9405 152nd St E","Puyallup","WA","98375","(253) 268-3650","","(253) 268-3651","3A","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Beyene, Rita","6","","","","594979","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754027","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754027",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758514","40014721","51680","AF  ","* Hope of Life AFH LLC 1","OP    ","747 N Locust Ln","Tacoma","WA","98406","Pierce","747 N Locust Ln","Tacoma","WA","98406","(253) 503-0385","","","3A","SPMI, SPDE, SPDD","1080XS-12 ","Donkoglo, Mariya D.","6","","","","1211177","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758514","No"," ",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","754688","40011122","46024","AF  ","* Rainier Ridge AFH LLC","OP    ","19008 110th Avenue Ct E","Puyallup","WA","98374","Pierce","19008 110th Avenue Ct E","Puyallup","WA","98374","(206) 741-7772","","(253) 780-4842","3A","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Asfaha, Temesgen","6","","","","710691","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754688","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754688",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","756109","40012307","48084","AF  ","** Joe Joyce Adult Family Home","OP    ","8503 Idlewood Dr SW","Lakewood","WA","98498","Pierce","8503 Idlewood Dr SW","Lakewood","WA","98498","(253) 302-4226","(253) 409-2405","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Manguru, Joyce M.","5","","","","529134","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756109","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756109",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","756723","40012866","48980","AF  ","**Yellowville Park Home","OP    ","1015 145th St S","Tacoma","WA","98444","Pierce","1015 145th St S","Tacoma","WA","98444","(253) 363-8555","","(253) 254-7042","3A","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Mbichire, Bether W.","6","","","","459425","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756723","No"," ",
"Mental Health, Dementia","No Contract","756645","40012873","48989","AF  ","*1st* Legacy Senior Care Home LLC","OP    ","4308 Elwood Dr W","University Place","WA","98466","Pierce","4308 Elwood Dr W","University Place","WA","98466","(253) 244-7019","","","3A","SPMI, SPDE","","Alarcon, Jorge","5","","","","896731","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756645","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756645",
