"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","757951","40014210","50938","AF  ","#1 Care Paradigm Adult Family Home","OP    ","4819 50th Ave SE","Lacey","WA","98503","Thurston","4819 50th Ave SE","Lacey","WA","98503","(360) 878-8534","","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Romualdo, Rey","6","","","","1025180","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757951","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757951",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755028","40009811","46933","AF  ","#1st Seniors Hope Adult Family Home LLC","OP    ","4020 61st Ct SW","Olympia","WA","98512","Thurston","4020 61st Ct SW","Olympia","WA","98512","(360) 232-6128","","(360) 489-1830","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Kagimbi, Joan M.","6","","","","782685","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755028","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755028",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758684","40014807","51807","AF  ","18TH AVENUE ADULT FAMILY HOME, LLC","OP    ","2523 18th Ave NW","Olympia","WA","98502","Thurston","2523 18th Ave NW","Olympia","WA","98502","(360) 995-5085","","","3F","SPMI, SPDE, SPDD","1080XS-12 ","NJUGUNA, PETER","5","","","","667866","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758684","No"," ",
"Mental Health, Dementia","Adult Family Home","757378","40013651","50121","AF  ","1st Bear Hugs LLC","OP    ","2808 Stirling St SE","Olympia","WA","98501","Thurston","2808 Stirling St SE","Olympia","WA","98501","(360) 706-2103","","","3F","SPMI, SPDE","1080XS-12 ","Halmaghi, Aurelian S.","6","","","","456343","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757378","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757378",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758588","40002180","52001","AF  ","1ST MARANATHA HAVEN AFH","OP    ","6520 ELM ST SE","TUMWATER","WA","98501","Thurston","6520 ELM ST SE","TUMWATER","WA","98501","(360) 560-4744","","","3F","SPMI, SPDE, SPDD","1080XS-12 ","WARIUA, CHRISTOPHER K.","6","","","","1058600","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758588","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","757807","40013994","50651","AF  ","1ST SENIORS HOPE III ADULT FAMILY HOME LLC","OP    ","4042 61st Ct SW","Olympia","WA","98512","Thurston","4042 61st Ct SW","Olympia","WA","98512","(360) 232-4115","","","3F","SPMI, SPDE, SPDD","1080XS-12 ","Kagimbi, Joan M.","6","","","","782685","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757807","No"," ",
"Mental Health, Dementia","No Contract","758760","40014868","51889","AF  ","2 SUNNYCARE ADULT FAMILY HOME","OP    ","20144 Weston Ct SW","Centralia","WA","98531","Thurston","20144 Weston Ct SW","Centralia","WA","98531","(360) 858-7012","","","3F","SPMI, SPDE","","JONES, CHRISTOPHER J.","6","","","","1204410","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758760","No"," ",
"Mental Health, Dementia","Adult Family Home","758183","40014382","51173","AF  ","A and D Adult Family Home","OP    ","5511 32nd Ct SE","Lacey","WA","98503","Thurston","5511 32nd Ct SE","Lacey","WA","98503","(360) 915-6945","","","3F","SPMI, SPDE","1080XS-12 ","Mungo, Lucy C.","6","","","","1162787","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758183","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","754588","40011199","46188","AF  ","A Beacon of Care Adult Family Home LLC","OP    ","5013 45th Ave Se","Lacey","WA","98503","Thurston","3510 Kings Way Se","Olympia","WA","98501","(360) 489-1823","","(360) 539-7185","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Romualdo, Rey","6","","","","1025180","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754588","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754588",
"Mental Health, Dementia","Adult Family Home","758519","40009889","52067","AF  ","A Big Heart AFH 1, LLC","OP    ","1127 Georgetowne Dr NE","Olympia","WA","98516","Thurston","1127 Georgetowne Dr NE","Olympia","WA","98516","(314) 600-3519","","","3F","SPMI, SPDE","1080XS-12 ","Wambua, Eunice","6","","","","1234523","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758519","No"," ",
