"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Developmental Disabilities","DDA Meaningful Day, Adult Family Home","757023","40013177","49459","AF  ","Arc of Grays Harbor Adult Family Home","OP    ","401 F Street","Cosmopolis","WA","98537","Grays Harbor","PO Box 1063","Cosmopolis","WA","98537","(360) 310-0117","(360) 537-8816","(360) 612-8006","3F","SPDD","1080XS-12 , 1080XS-12 ","Stolen, Bryn J.","6","","","","999145","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757023","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","756750","40012963","49134","AF  ","Cider Creast 1 AFH LLC","OP    ","426 E King St","Aberdeen","WA","98520","Grays Harbor","426 E King St","Aberdeen","WA","98520","(206) 637-9643","","(360) 249-3917","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Cornish, Monicah","6","","","","1016581","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756750","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756750",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755075","40010424","46655","AF  ","Cider Creast AFH LLC","OP    ","1301 E Cedar Ave","Montesano","WA","98563","Grays Harbor","1301 E Cedar Ave","Montesano","WA","98563","(360) 249-3900","","(360) 612-3194","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Cornish, Monicah","6","","","","1016581","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755075","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755075",
"Mental Health, Dementia","No Contract","752585","40009898","42157","AF  ","Gulke Manor AFH LLC","OP    ","218 Monte Brady Rd","Montesano","WA","98563","Grays Harbor","218 Monte Brady Rd","Montesano","WA","98563","(360) 249-8060","","(360) 249-8255","3F","SPMI, SPDE","","Gulke, Carleen J.","4","","","","466392","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752585","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752585",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","756444","40012595","48554","AF  ","Welcome Home Family Living LLC","OP    ","1330 Seely Ct","Montesano","WA","98563","Grays Harbor","1330 Seely Ct","Montesano","WA","98563","(360) 249-8319","(360) 249-8319","","3F","SPMI, SPDE, SPDD","1080XS-12 ","Rager, Lisa L.","6","","","","553640","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756444","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756444",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","756061","40005569","48562","AF  ","#1st Seniors Hope II Adult Family Home LLC","OP    ","52 SW 12TH ST","CHEHALIS","WA","98532","Lewis","52 SW 12TH ST","CHEHALIS","WA","98532","(360) 977-7859","","(360) 489-1830","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Wesseh, Quianaca","6","","","","755892","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756061","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756061",
"Mental Health, Dementia","Adult Family Home","757622","40013794","50363","AF  ","1 SUNNYSIDE DR LLC","OP    ","122 Sunnyside Dr","Centralia","WA","98531","Lewis","122 Sunnyside Dr","Centralia","WA","98531","(360) 807-4481","","(360) 807-4481","3F","SPMI, SPDE","1080XS-12 ","Jarju, Mariama","6","","","","1059869","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757622","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757622",
"Mental Health, Dementia","No Contract","758151","40014109","50811","AF  ","A Curtis Hill Estate Adult Family Home LLC","OP    ","733 Cousins Rd","Chehalis","WA","98532","Lewis","733 Cousins Rd","Chehalis","WA","98532","(360) 523-5498","","(360) 437-6339","3F","SPMI, SPDE","","Hampton, Marie A.","6","","","","562536","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758151","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","756126","40012364","48177","AF  ","A Moment of Grace AFH","OP    ","2306 Scheuber Ridge Ct","Centralia","WA","98531","Lewis","2306 Scheuber Ridge Ct","Centralia","WA","98531","","","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Brown, Karen","6","","","","1026067","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756126","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756126",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","758615","40014767","51751","AF  ","A MOMENT OF GRACE AFH 2","OP    ","3297 Prill Rd","Centralia","WA","98531","Lewis","3297 Prill Rd","Centralia","WA","98531","(360) 485-8967","","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Brown, Karen","6","","","","1026067","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758615","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758563","40014695","51647","AF  ","A SOLACE PLACE LLC","OP    ","811 NW Saint Helens Ave","Chehalis","WA","98532","Lewis","811 NW Saint Helens Ave","Chehalis","WA","98532","(360) 262-7708","","","3F","SPMI, SPDE, SPDD","1080XS-12 ","KANGNIDE, FOLAKE R.","6","","","","826994","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758563","No"," ",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","757477","40013749","50290","AF  ","ABU'S CARE AFH","OP    ","1222 St Helens St","Centralia","WA","98531","Lewis","1222 St Helens St","Centralia","WA","98531","(360) 807-4421","","(360) 810-2052","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Silameh Kassama, Fatou","6","","","","499605","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757477","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757477",
"Mental Health, Dementia","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","756398","40011697","48876","AF  ","Arianna Care AFH 2","OP    ","132 Sunnyside Dr","Centralia","WA","98531","Lewis","132 Sunnyside Dr","Centralia","WA","98531","(360) 807-4644","","(360) 807-4680","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Njoroge, Johnson","6","","","","526758","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756398","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756398",
"Mental Health, Dementia","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","754579","40006072","46248","AF  ","Arianna Care LLC","OP    ","610 Hamilton Ave","Centralia","WA","98531","Lewis","610 Hamilton Ave","Centralia","WA","98531","(360) 807-4237","","(360) 807-4392","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Njoroge, Johnson","6","","","","526758","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754579","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754579",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","755875","40002397","48157","AF  ","Asante Group LLC","OP    ","812 COWLITZ RD","CENTRALIA","WA","98531","Lewis","812 COWLITZ RD","CENTRALIA","WA","98531","(360) 736-2626","","(844) 289-6646","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Enyart, Larry","6","","","","669262","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755875","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755875",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","756436","40011523","48832","AF  ","Beloved AFH","OP    ","701 Marsh Ave Apt B","Centralia","WA","98531","Lewis","701 Marsh Ave Apt B","Centralia","WA","98531","(360) 669-0806","","(360) 669-0336","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Otura, George","6","","","","780736","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756436","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756436",
"Mental Health, Dementia","Adult Family Home","758450","40008199","51790","AF  ","BEST QUALITY CARE HOME CENTRALIA LLC","OP    ","317 S BERRY ST","CENTRALIA","WA","98531","Lewis","317 S BERRY ST","CENTRALIA","WA","98531","(360) 200-3867","","","3F","SPMI, SPDE","1080XS-12 ","Vasey, Kathryn","6","","","","1221953","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758450","No"," ",
"Mental Health, Dementia","Adult Family Home","758677","40014550","51451","AF  ","Blessed Care AFH 3","OP    ","1220 St Helens St","Centralia","WA","98531","Lewis","1220 St Helens St","Centralia","WA","98531","(360) 807-4340","","","3F","SPMI, SPDE","1080XS-12 ","Kassama, Abdoulie","6","","","","437947","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758677","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","754087","40008920","45323","AF  ","Brenda's Elder Care","OP    ","1033 Chieri Ct","Napavine","WA","98565     ","Lewis","512 SE 2nd St","Winlock","WA","98596","(360) 262-9481","","(360) 262-9878","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Corwin, Brenda","6","","","","167319","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754087","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754087",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","751176","40008625","39764","AF  ","Clark's Country Haven Adult Family Home","OP    ","1735 Winlock Vader Rd","Winlock","WA","98596","Lewis","1735 Winlock Vader Rd","Winlock","WA","98596","(360) 295-0933","","(360) 283-0868","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Clark, Tina M.","6","","","","1022871","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751176","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751176",
"Mental Health, Dementia","Expanded Community Services, Adult Family Home","758233","40014473","51326","AF  ","CLEO CREST AFH","OP    ","2569 Kristine Ct","Centralia","WA","98531","Lewis","2569 Kristine Ct","Centralia","WA","98531","(360) 807-4217","","","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 ","Mfaume, Miriam H.","6","","","","1057928","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758233","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","756401","40012555","48492","AF  ","Cobham AFH","OP    ","1110 Cobra Ln","Centralia","WA","98531","Lewis","1110 Cobra Ln","Centralia","WA","98531","","","(360) 669-0154","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","MATONYA, MAULID H.","6","","","","885170","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756401","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756401",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","753695","40010605","44900","AF  ","Coffee Creek AFH","OP    ","1817 Hillview Rd","Centralia","WA","98531","Lewis","111 Nicola Ct","Chehalis","WA","98532","(360) 669-0038","","(360) 559-6690","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Varick, Melissa M.","6","","","","570757","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753695","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753695",
"Mental Health, Dementia","No Contract","755956","40012261","47997","AF  ","Curtis Hill Manor Adult Family Home LLC","OP    ","354 Curtis Hill Rd","Chehalis","WA","98532","Lewis","354 Curtis Hill Rd","Chehalis","WA","98532","(360) 523-5498","","(360) 748-3594","3F","SPMI, SPDE","","Hampton, Marie A.","6","","","","562536","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755956","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755956",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755194","40007390","47107","AF  ","Fairhill Care 2 AFH","OP    ","802 Atherton St","Centralia","WA","98531","Lewis","802 Atherton St","Centralia","WA","98531","(360) 736-2046","","(360) 669-0482","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Mnyuku, Miriam","6","","","","666685","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755194","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755194",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755925","40012258","47992","AF  ","Fairhill Care 3 AFH","OP    ","2521 Kristine Ct ","Centralia","WA","98531","Lewis","2521 Kristine Ct ","Centralia","WA","98531","(360) 669-0019","","(360) 669-5103","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Mnyuku, Miriam","6","","","","666685","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755925","No"," ",
"Mental Health, Dementia","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","754065","40009461","45553","AF  ","Favored Homes LLC","OP    ","1218 N Washington Ave","Centralia","WA","98531","Lewis","1218 N Washington Ave","Centralia","WA","98531","(253) 232-0685","","(360) 807-4435","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Kimani, Tabitha W.","6","","","","184576","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754065","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754065",
"Mental Health, Dementia","Adult Family Home","754992","40011416","46532","AF  ","Forget Me Not Adult Family Home LLC ","OP    ","214 Washington Way","Centralia","WA","98531","Lewis","214 Washington Way","Centralia","WA","98531","(360) 388-5940","","(360) 736-3664","3F","SPMI, SPDE","1080XS-12 ","Sudano, Mirranda","6","","","","1017817","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754992","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754992",
