"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755311","40000672","47469","AF  ","Vancouver Senior Care Home, LLC","OP    ","15703 NE 37TH ST","VANCOUVER","WA","98682","Clark","15703 NE 37TH ST","VANCOUVER","WA","98682","(360) 604-0143","","(360) 260-4382","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","MICHAEL, WONGEL A.","8","","","","633092","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755311","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755311",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","684100","40006841","38164","AF  ","#1 Adult Care Home","OP    ","14316 SE 13TH ST","VANCOUVER","WA","98683","Clark","14316 SE 13TH ST","VANCOUVER","WA","98683","(360) 693-1076","(360) 891-3121","","3F","SPMI, SPDE, SPDD","1080XS-12 ","Nikiforyan, Anzhela","6","","","","216684","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=684100","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=684100",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","753983","40010755","45230","AF  ","#1 Adult Care Home","OP    ","2600 SE Bella Vista Rd","Vancouver","WA","98683","Clark","2600 SE Bella Vista Rd","Vancouver","WA","98683","(360) 597-3049","","(360) 314-2277","3F","SPMI, SPDE, SPDD","1080XS-12 ","Nikiforyan, Anzhela","6","","","","216684","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753983","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753983",
"Mental Health, Dementia","Adult Family Home","758933","40015054","52163","AF  ","#1 Adult Care Home","OP    ","10720 SE 11th Cir","Vancouver","WA","98664","Clark","10720 SE 11th Cir","Vancouver","WA","98664","(360) 831-4600","","","3F","SPMI, SPDE","1080XS-12 ","Nikiforyan, Anzhela","6","","","","216684","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758933","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","753350","40010382","44314","AF  ","01 Briarwood Senior Family Home LLC","OP    ","1611 SE Briarwood Dr","Vancouver","WA","98683","Clark","1611 SE Briarwood Dr","Vancouver","WA","98683","(360) 977-0553","","(360) 718-8812","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Fureyster, Kristina","8","","","","1022796","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753350","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753350",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","756818","40006017","49373","AF  ","A 4 Advantage Care LLC","OP    ","7505 Alabama Dr","Vancouver","WA","98664","Clark","7505 Alabama Dr","Vancouver","WA","98664","(360) 984-5122","","(360) 984-5175","3F","SPMI, SPDE, SPDD","1080XS-12 ","BAUTISTA, ABIGAIL G.","6","","","","438160","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756818","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","755187","40009945","46900","AF  ","A Adult Senior Care, LLC","OP    ","15710 NE 28th St","Vancouver","WA","98682","Clark","15710 NE 28th St","Vancouver","WA","98682","(360) 597-4099","","(360) 314-2670","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Pukay, Estera","6","","","","1023064","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755187","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755187",
"Mental Health, Dementia","Adult Family Home","754886","40006672","46669","AF  ","A Beautiful Sunset, LLC","OP    ","802 SE 123rd Ave","Vancouver","WA","98683","Clark","802 SE 123rd Ave","Vancouver","WA","98683","(360) 984-6440","","(360) 216-7933","3F","SPMI, SPDE","1080XS-12 ","Gawlik, Adriana","6","","","","1022400","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754886","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754886",
"Mental Health, Developmental Disabilities","Expanded Community Services, Adult Family Home","752210","40009566","41341","AF  ","A Caring Heart Adult Residential Home","OP    ","13508 NE 22nd St","Vancouver","WA","98684","Clark","13508 NE 22nd St","Vancouver","WA","98684","(360) 314-2599","","(360) 314-2599","3F","SPMI, SPDD","1080XS-12 , 1080XS-12 ","Kent, James I.","6","","","","218710","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752210","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752210",
"Mental Health, Dementia","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","754449","40011241","46259","AF  ","A Golden Dream AFH LLC","OP    ","10703 NE 68th Circle","Vancouver","WA","98662","Clark","10703 NE 68th Circle","Vancouver","WA","98662","(360) 975-0947","","(360) 882-8221","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Kyshka, Olga A.","6","","","","235323","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754449","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754449",
